productId,name,provider,catalogType,category,basePrice,sellPrice,customerShippingCharge,providerShippingCost,aiGenerationCost,stripeFeeEstimate,shippingSpread,grossMargin,totalRevenue,totalCost,netEarnings,netEarningsPct
cmmtjnv8y0008qwl21blw0rsv,All-Over Print Zip-Up Hoodies,gooten,ready_to_buy,apparel,51.40,113.08,5.99,5.99,0.00,3.75,0.00,61.68,119.07,61.14,57.93,48.65
cmmtjreet000oqwl2x138srq7,Klean Kanteen TKWide Insulated Water Bottles With Loop Cap,gooten,ready_to_buy,apparel,51.40,113.08,5.99,5.99,0.00,3.75,0.00,61.68,119.07,61.14,57.93,48.65
cmmhtq4pb000443l2lim67qn2,adidas Quarter Zip Pullover,printful,ready_to_buy,accessories,47.95,105.49,5.99,5.99,0.00,3.53,0.00,57.54,111.48,57.47,54.01,48.45
cmmtjnf3f0006qwl2outzyuu1,All-Over Print Pullover Hoodies,gooten,ready_to_buy,apparel,47.90,105.38,5.99,5.99,0.00,3.53,0.00,57.48,111.37,57.42,53.95,48.44
cmmtjrkl8000pqwl2sgjrhftq,Klean Kanteen Eco Insulated Water Bottles With Loop Cap,gooten,ready_to_buy,apparel,45.90,100.98,5.99,5.99,0.00,3.40,0.00,55.08,106.97,55.29,51.68,48.31
cmmtjm69v0000qwl291yf1vir,Klean Kanteen Eco Tumblers with Cafe Cap,gooten,ready_to_buy,apparel,41.40,91.08,5.99,5.99,0.00,3.12,0.00,49.68,97.07,50.51,46.56,47.97
cmmhtq5zm000743l2ihcauamf,adidas Space-Dyed Polo Shirt,printful,ready_to_buy,apparel,40.50,89.10,5.99,5.99,0.00,3.06,0.00,48.60,95.09,49.55,45.54,47.89
cmmtjnpmj0007qwl2x9er74zl,Hoodies (Zip-up),gooten,ai_customizable,apparel,35.90,78.98,5.99,5.99,0.04,2.76,0.00,43.08,84.97,44.69,40.28,47.40
cmmhtq5bq000643l2f4iptp59,adidas Premium Polo Shirt,printful,ready_to_buy,apparel,32.50,71.50,5.99,5.99,0.00,2.55,0.00,39.00,77.49,41.04,36.45,47.04
cmmtjmswh0004qwl285pxvbc4,All-Over Print Sweatshirts,gooten,ready_to_buy,apparel,31.40,69.08,5.99,5.99,0.00,2.48,0.00,37.68,75.07,39.87,35.20,46.89
cmmhtq7jt000b43l219lzhg6n,All-Over Print Backpack,printful,ai_customizable,accessories,28.95,63.69,5.99,5.99,0.04,2.32,0.00,34.74,69.68,37.30,32.38,46.47
cmmhtq9ma000h43l2gkyhn57s,All-Over Print Boxy Football Jersey,printful,ai_customizable,accessories,28.95,63.69,5.99,5.99,0.04,2.32,0.00,34.74,69.68,37.30,32.38,46.47
cmmhtq6v1000a43l20atonrvd,All-Over Print American Football Jersey,printful,ai_customizable,accessories,28.50,62.70,5.99,5.99,0.04,2.29,0.00,34.20,68.69,36.82,31.87,46.40
